Jaar,Maand,Dag,DagNaam,Uur,Minuut,Type,Persoon,Psalmen
2022,June,26,Sunday,9,30,Ochtenddienst ( Viering Heilig Avonmaal,Ds. Lugthart,"Vz: Psalm 146 vers 1
Psalm 63 vers 1
Psalm 63 vers 5
Schriftlezing: 2 Samuël 5 vers 6 t/m 10 en Samuël 9
Collectes:
Psalm 146 vers 5 en 6
Preek: Eten aan de tafel van de koning
Psalm 51 vers 9
Avondmaalsformulier
Psalm 23 vers 1 en 3 ( terwijl de tafel wordt voorbereid )
Psalm 34 ( Tijdens de viering van het Heilig Avondmaal )
Psalm 33 vers 10"
2022,June,19,Sunday,18,30,Avonddienst,Prop. de Mots uit Ridderkerk,"Vz: Psalm 91 vers 1
Psalm 22 vers 4 en 14
Psalm 104 vers 17
Schriftlezing: Lukas 24 vers 36 t/m 49
Collectes:
Gezang 4 vers 1 en 2
Preek: Jezus zending die de Schriften vervuld
Psalm 87 vers 1 en 2 en 3 en 4
Psalm 86 vers 5 en 6"
2022,June,19,Sunday,10,00,Ochtenddienst,Ds. Lugthart,Onbekend
2022,June,15,Wednesday,14,00,Huwelijksdienst Lydia en Jaap,Ds. Lugthart,Onbekend
2022,June,12,Sunday,18,30,Avonddienst,Ds. Lugthart,"Vz: Psalm 90 vers 1
Psalm 33 vers 2 en 3
Psalm 33 vers 11
Schriftlezing: Markus 1 vers 9 t/m 11 en Johannes 17
Collectes
Psalm 139 vers 8 en 10
H.C. Zondag 8
Preek: 1 × 1 × 1 = 3
Psalm 145 vers 1 en 2
Avondzang vers 1 en 2 en 7"
2022,June,12,Sunday,10,00,Ochtenddienst,Ds. ten Brinke uit Oud - Beijerland,"Vz: Psalm 21 vers 1 en 5
Psalm 45 vers 1
Gezang 5 vers 8 en 9
Schriftlezing: Romeinen 8 vers 1 t/m 9 en Galaten 5 vers 16 t/m 25
Collectes
Psalm 51 vers 6
Preek: romeinen 8 vers 1
Psalm 25 vers 2 en 6
Psalm 119 vers 47"
2022,June,6,Monday,9,30,Appéldienst tweede Pinksterdag,Ds. Lugthart,"Lied: Heer, Uw licht en Uw liefde schijnen
Psalm 45 vers 1 en 2
Schriftlezing: Handelingen 2 vers 1 t/m 13
Collectes:
Lied: Een rivier vol van vreugde.
Lied: Er komen stromen van zegen.
Meditatie: De blijde boodschap in je eigen taal.
Lied: Samen in de naam van Jezus.
Psalm 150 vers 1 en 2
Lied: Zegen ons, Algoede"
2022,June,5,Sunday,18,30,Avonddienst,Ds. Vonk Noordergraaf uit Uddel,"Vz:
Psalm 67 vers 3
Psalm 29 vers 1
Schriftlezing: Joël 2 vers 28 t/m 32 en Handelingen 2 vers 14 t/m 21
Collectes:
Psalm 67 vers 1 en 2
Preek
Psalm 118 vers 12
Psalm 108 vers 1 en 2"
2022,June,5,Sunday,9,45,Ochtenddienst ( Pinksteren ) ( Doopdienst ),Ds. Lugthart,"Zingen voor de dienst
Psalm 118 vers 12 en 14
Psalm 119 vers 9
Doopformulier
Psalm 105 vers 5
Bediening doop
Psalm 134 vers 3
Schriftlezing: Handelingen 2 vers 1 t/m 21 en 37 t/m 41
Op toonhoogte 514 ( Veilig in Jezus armen )
Preek: “Een veelbelovende belofte”
Psalm 87 vers 1 en 2 en 3
Psalm 75 vers 1"
2022,May,29,Sunday,18,30,Avonddienst,Ds. Russcher uit Veenendaal,"Vz: Psalm 88 vers 1
Psalm 63 vers 1 en 2
Psalm 75 vers 1
Schriftlezing: Kolossenzen 3 vers 1 t/m 17
Collectes:
Psalm 27 vers 2 en 5
Preek: ""Zoek het hogerop! "".
Psalm 73 vers 13
Psalm 138 vers 1 en 4"
2022,May,26,Thursday,9,30,Ochtenddienst ( Hemelvaart ),Ds. Lugthart,Onbekend
2022,May,22,Sunday,18,30,Avonddienst,Ds. Vlijm uit Wezep,"Vz: Psalm 85
Psalm 9 vers 1 en 11
Psalm 9 vers 16 en 18
Schriftlezing: Genesis 40
Collectes
Psalm 143 vers 1 en 5 en 11
Preek: "" Vergeten? ""
Psalm 119 vers 72 en 76
Psalm 69 vers 3A en 5B"
2022,May,22,Sunday,10,00,Ochtenddienst,Ds. Lugthart,"Vz: Psalm 84 vers 1 en 6
Psalm 132 vers 5 en 10
Psalm 32 vers 3 en 6
Schriftlezing: Exodus 19 vers 1 t/m 10 en 1 Petrus 2 vers 1 t/m 10
Collectes
Psalm 147 vers 3 en 10
Preek: “Over de kerk gesproken: een koninklijk priestervolk”.
Psalm 115 vers 6 en 7
Psalm 68 vers 16 en 17"
2022,May,15,Sunday,18,30,Avonddienst,Ds. de Wit uit Jaarsveld,"Vz: Psalm 83 vers 1
Psalm 103 vers 1 en 7
Psalm 131 vers 2
Schriftlezing: Markus 14 vers 32 t/m 39, Johannes 5 vers 19 t/m 23, Johannes 17 vers 1 en 5 en 24 en 25 en Romeinen 8 vers 8 t/m 17
Collectes:
Gezang 8 ( Bedezang voor de predikatie )
Preek: HC vraag en antwoord 37
Gezang 5 vers 1 en 2
Psalm 33 vers 11"
2022,May,15,Sunday,10,00,Ochtenddienst,Ds. Lugthart,"Vz: Psalm 82 vers 1
Psalm 68 vers 13 en 17
Gezang 1 vers 9
Schriftlezing: Efeze 4 vers 1 t/m 16 en 1 Petrus 2 vers 1 t/m 10
Collectes:
Psalm 116 vers 7 en 8 en 11
Preek: “Over de kerk gesproken, één lichaam…..”.
Psalm 133 vers 1 en 2 en 3
Psalm 95 vers 4"
2022,May,8,Sunday,18,30,Avonddienst,Dhr. van Eckeveld uit Woerden,"Vz; Psalm 105 vers 3 en 5
Psalm 79 vers 4
Psalm 62 vers 4 en 5
Schriftlezing: 2 Samuël 7 vers 1 t/m 17 en Psalm 74
Collectes:
Psalm 74 vers 2 en 7 en 12 en 19
Preek: “Gedenken in moeilijke tijden”.
Psalm 75 vers 1 en 4
Psalm 33 vers 10 en 11"
2022,May,8,Sunday,10,00,Ochtenddienst,Prop. van der Schee uit Hoevelaken,"Vz:
Psalm 89 vers 1 en 19
Psalm 119 vers 65
Schriftlezing: Jesaja 25 vers 6t/m 12 en 1 Korinthe 15 vers 50 t/m 58
Collectes:
Psalm 103 vers 8 en 9
Preek; “Op de uitkijk”.
Psalm 73 vers 12 en 13
Psalm 73 vers 14"
2022,May,1,Sunday,18,30,Avonddienst,Ds. ten Hove uit Veenendaal,"Vz:
Psalm 9 vers 1 en 2 en 3
Psalm 9 vers 8 en 10
Schriftlezing: Hebreeën 6 vers 4 t/m 20
Collectes:
Psalm 43 vers 3 en 4 en 5
Preek: "" Het anker van de hoop "".
Psalm 42 vers 7
Psalm 124 vers 1 en 4"
2022,May,1,Sunday,10,00,Ochtenddienst,Ds. Boele uit Polsbroek,Onbekend
2022,April,24,Sunday,18,30,Avonddienst,Ds. Meijer uit Tholen,"Vz:
Psalm 23 vers 1 en 2
Psalm 17 vers 3
Schriftlezing: 1 Petrus 2 vers 218 t/m 25
Collectes:
Psalm 37 vers 3 en 6
Preek: 1 Petrus 2 vers 21
Psalm 119 vers 88
Psalm 25 vers 4"
2022,April,24,Sunday,10,00,Ochtenddienst,Ds. Lugthart,"Vz: Psalm 23 vers 1
Psalm 9 vers 1 en 2 en 18
Psalm 119 vers 83
Schriftlezing: ! Petrus 1 vers 13 t/m 25
Collectes:
Psalm 130 vers 3 en 4
Preek: “Klaar staan”.
Psalm 17 vers 3 en 7 en 8
Psalm 97 vers 6 en 7"
2022,April,22,Friday,11,00,Afscheidsdienst Mirjam de Borst - de Jong,Ds. G. Lugthart,Onbekend
2022,April,18,Monday,9,30,Paasappéldienst,Ds. Willemse uit Veenendaal,Onbekend
2022,April,17,Sunday,18,30,Avonddienst,Ds. Molenaar uit Ede,"Vz: Psalm 76 vers 1
Psalm 65 vers 1 en 2
Psalm 66 vers 3 en 4
Schriftlezing: Genesis 3 vers 1 t/m 10 en Markus 16 vers 1 t/m 8
Collectes:
Psalm 30 vers 1 en 2 en 3
Preek: Sprakeloze vrees
Psalm 31 vers 15
Psalm 118 vers 8 en 11"
2022,April,17,Sunday,9,45,Ochtenddienst ( bev. nieuwe lidmaten ),Ds. Lugthart,Psalm 100 vers 1 en 3 en 4
2022,April,16,Saturday,19,30,Stille week,Arie Nap,Onbekend
2022,April,15,Friday,19,30,Goede vrijdagavond,Ds. Lugthart,"Vz; Psalm 22 vers 1
Psalm 22 vers 8 en 9
Psalm 116 vers 4 en 5
Schriftlezing: Johannes 19 vers 17 t/m 37
Collectes:
Psalm 69 vers 4 en 9
Preek: Golgotha, het begin van een nieuwe familie
Psalm 133 vers 1 en 2 en 3
Psalm 31 vers 16 en 17"
2022,April,14,Thursday,19,30,Stille week,Willem Hoogeveen,Onbekend
2022,April,13,Wednesday,19,30,Stille week,Andries van Eckeveld,Onbekend
2022,April,12,Tuesday,19,30,Stille week,André Gouderjaan,Onbekend
2022,April,11,Monday,19,30,Stille week,Jacolien Cazant,Onbekend
2022,April,10,Sunday,18,30,Avonddienst,Ds. Goudriaan uit Ede,"Vz:
Psalm 31 vers 4 en 11
Psalm 40 vers 4
Schriftlezing: Mattheüs 27 vers 38 t/m 56
Collectes:
Psalm 142 vers 1 en 2 en 3
Preek:
Psalm 65 vers 2
Psalm 118 vers 9 en 10"
2022,April,10,Sunday,10,00,Ochtenddienst,Ds. Teeuw uit Voorthuizen,"Vz:
Psalm 69 vers 4 en 5
Psalm 69 vers 14
Schriftlezing: Mattheüs 27 vers 11 t/m 26
Collectes:
Psalm 42 vers 4 en 5
Preek: Zijn bloed over ons.
Psalm 32 vers 1
Psalm 32 vers 4 en 6"
2022,April,9,Saturday,20,00,Kooruitvoering,Immanuël,Onbekend
2022,April,3,Sunday,18,30,Avonddienst,Ds. Lugthart,"Vz.: Psalm 74 vers 1 en 2
Psalm 33 vers 2 en 3
Psalm 33 vers 6
Schriftlezing: 1 Korinthe 1 vers 18 t/m 31
Collectes
Psalm 25 vers 2 en 7
Zondag 6 H.C.
Psalm 43 vers 5
Psalm 111 vers 2 en 6"
2022,April,3,Sunday,10,00,Ochtenddienst,Ds. Vonk Noordegraaf uit Uddel,"Vz:
Psalm 103 vers 2 en 6
Psalm 1 vers 1
Schriftlezing: Lukas 23 vers 33 t/m 43
Collectes
Psalm 25 vers 3 en 5
Psalm 68 vers 10
Psalm 73 vers 12 en 13"
2022,March,27,Sunday,18,30,Avonddienst,Ds. van der Ziel uit Waarder,"Vz: Psalm73 vers 13
Psalm 116 vers 1 en 2 en 5
Psalm 51 vers 2
Schriftlezing: Jesaja 53
Collectes
Psalm 42 vers 6 en 7
Preek: ""Glorie door vernedering "".
Psalm 85 vers 1 en 4
Psalm 68 vers 4 en 10"
2022,March,27,Sunday,10,00,Ochtenddienst,Ds. Lugthart,"Tijdens deze dienst is er een kerkboekje voor de kinderen.
Vz: Psalm 72 vers 1
Psalm 109 vers 1 en 2
Psalm 141 vers 3
Schriftlezing: Jesaja 53 vers 1 t/m 7 en Lukas 23 vers 33 t/m 43 en
1 Petrus 2 vers 19 t/m 25
Collectes.
Psalm 38 vers 12 en 13 en 14 en 15
Preek: “Hij zweeg …..”.
Psalm 62 vers 4 en 5
Psalm 144 vers 4 en 7"
2022,March,23,Wednesday,14,00,Rouwdienst dhr. v/d Velde,Ds. Lugthart of ds. v/d Ziel,Onbekend
2022,March,20,Sunday,18,30,Avonddienst ( Dankzegging Heilig Avondmaal ),Ds. Brouwer uit Veen,"Vz:
Psalm 18 voorzang en vers 8
Psalm 97 vers 6 en 7
Schriftlezing: Romeinen 12
Collecte:
Psalm 94 vers 7 en 10
Preek: Gods vrede in geloof, hoop en liefde.
Psalm 35 vers 6 en 13
Psalm 22 vers 13 en 14 en 16"
2022,March,20,Sunday,9,30,Ochtenddienst ( viering Heilig Avondmaal ),Ds. van Duivenboden uit Apeldoorn,"Vz: Psalm 70 vers 1
Psalm 22 vers 1 en 2
Psalm 32 vers 2
Schriftlezing: Psalm 22 vers 1 t/m 9
Collectes:
Psalm 22 vers 3 en 4
Psalm 52 vers 7
Psalm 23 vers 2 ( Gereedmaking Avondmaalstafel )
Psalm 145 ( Tijdens de vieringen )
Psalm 84 vers 4 en 6"
2022,March,16,Wednesday,20,00,Gemeenteavond ( Heilig Avondmaal ),Ds. Lugthart,Onbekend
2022,March,13,Sunday,18,30,Avonddienst,Ds. Catsburg uit Goes,"Vz: Psalm 22 vers 1
Psalm 113 vers 1 en 2
Psalm 8 vers 1 en 4
Schriftlezing: Exodus 14 vers 19 t/m 22 en Johannes 18 vers 1 t/m 27
Collectes:
Psalm 118 vers 3 en 8
Preek: Johannes 18 vers 8
Psalm 116 vers 1 en 5
Psalm 27 vers 1"
2022,March,13,Sunday,10,00,Ochtenddienst,Ds. Lugthart,"Vz: Psalm 146 vers 1
Psalm 102 vers 1 en 2
Psalm 25 vers 2
Schriftlezing: Jesaja 40 vers 9t/m 11 en Jesaja 53 vers 1 t/m 3 en Matth. 27 vers 11 t/m 26
Collectes:
Psalm 38 vers 7 en 11 en 12
Preek: “Schuldig”.
Psalm 51 vers 2
1ste helft Avondmaalsformulier
Psalm 51 vers 9
Psalm 118 vers 11 en 9"
2022,March,12,Saturday,19,00,Een uur van lofprijzing,Onbekend,"Samen in de Naam van Jezus
Heer, ik kom tot U
Gedicht: Voetstappen in het zand.
Tel uw zegeningen
Daar zijn geen grenzen aan Jezus macht
Ik zal er zijn.
Machtig God, sterke Rots.
Gebed voor mijn kinderen
Lichtstad met uw paarlen poorten
Mijn Vader dank U wel
Ga met God en Hij zal met je zijn"
2022,March,9,Wednesday,19,30,Avonddienst ( Biddag ),Ds. Lugthart,"Vz. Psalm 127 vers 1
Psalm 65 vers 4 en 6
Psalm 5 vers 12
Schriftlezing: Psalm 140
Collectes:
Psalm 140 vers 1 en 2 en 6 en 7 en 8
Preek: Bidden en belijden, ook in crisistijd
Psalm 27 vers 2 en 3
Psalm 67 vers 1 en 2"
2022,March,9,Wednesday,14,30,Middagdienst ( Biddag ),Ds. Lugthart,"Vz. Psalm 121 vers 1
Psalm 146 vers 1 en 3
Psalm 67 vers 3
Schriftlezing: Daniël 6 vers 1 t/m 11 Gelezen door Danique de Jong en Eline Nap
Collectes:
Lied: Ik hef mijn ogen op ( Door de kinderen )
Preek: Blijven bidden
Lied: Lees je Bijbel, bid elke dag
Psalm 27 vers 7"
2022,March,6,Sunday,18,30,Avonddienst,"Ds, Visser uit Rotterdam","Vz:
Psalm 136 vers 2 en 23
Psalm 135 vers 2 en 12
Schriftlezing: 1 Petrus 1 vers 1 t/m 9
Collectes:
Psalm 139 vers 2 en 14
Preek: "" Online leven "".
Psalm 138 vers 2 en 3
Psalm 138 vers 4"
2022,March,6,Sunday,10,00,Ochtenddienst,Prop. van Vliet uit Uddel,"Vz:
Psalm 46 vers 1
Psalm 19 vers 6
Schriftlezing: Lukas 22 vers 35 t/m 46
Collectes:
Psalm 22 vers 6 en 10
Preek:
Psalm 116 vers 1 en 2 en 3
Psalm 42 vers 4 en 5"
2022,February,27,Sunday,18,30,Avonddienst,Ds. van Meijeren uit Zeist,"VZ: Psalm 124 vers 4
Psalm 9 vers 1 en 2
Psalm 9 vers 10 en 18
Schriftlezing: Marcus 5 vers 21 t/m 34 en Leviticus 15 vers 25 t/m 31, Numeri 15 vers 37 t/m 41
Collectes:
Psalm 38 vers 7 en 8 en 9
Preek: “Wie heeft Mij aangeraakt”.
Psalm 30 vers 2 en 3
Psalm 42 vers 1 en 5"
2022,February,27,Sunday,10,00,Ochtenddienst ( Kerkboekje op website ),Ds. Lugthart,"( Kerkboekje op de website)
Vz: Psalm 116 vers 7 en 11
Psalm 65 vers 1 en 2
Psalm 19 vers 7
Schriftlezing: Jesaja 42 vers 1t/m 9, 52 vers 13 t/m 15 en Matth. 16 vers 21 t/m 23
Collectes:
Psalm 9 vers 13 en 14 en 18
Preek:’ De triomferende Knecht van de Heere’.
Psalm 21 vers 5 en 6
Psalm 56 vers 4 en 6"
2022,February,20,Sunday,18,30,Avonddienst,Ds. Lugthart,"Weerklank 242: Samen in de naam van Jezus
Weerklank 441: Heer wijs mij Uw weg
Geloofsbelijdenis
Weerklank 432: Groot is Uw trouw o Heer
Gebed
Lied: Mijn hulp is van U, Heer
Schriftlezing: 1 Kon. 3 vers 1 t/m 15
Psalm 119 vers 5 en 9
Schriftlezing: Matth: 6 vers 19 t/m 34
Psalm 146 vers 2 en 3
Preek:"" Keuzestress""
Weerklank 249: Zoek eerst het Koninkrijk van God
Met U alleen ( Luisterlied )
Dankgebed
Lied: Toekomst vol van hoop"
2022,February,20,Sunday,10,00,Ochtenddienst,Ds. de Groot uit Ede,"Psalm 27 vers 3
Psalm 79 vers 4
Schriftlezing: Psalm 124
Collectes
Psalm 124 vers 1 en 2 en 3
Preek
Psalm 124 vers 4
Psalm 33 vers 11"
2022,February,19,Saturday,19,00,Uitzending Zondagsschool,Onbekend,Onbekend
2022,February,13,Sunday,18,30,Avonddienst,Ds. Lugthart,"Psalm 62 vers 1
Psalm 77 vers 2 en 6
Schriftlezing: Exodus 32 vers 7 t/m 14 en 30 t/m 35 en Hebreeën 9 vers 1 t/m 15
Collectes
Psalm 51 vers 2
H.C. Zondag 5
Preek: “Op zoek naar een Middelaar”.
Psalm 45 vers 1
Psalm 31 vers 1 en 5"
2022,February,13,Sunday,10,00,Ochtenddienst,ds. Maas uit Rijssen,"Psalm 84 vers 1 en 2
Psalm 25 vers 3
Schriftlezing: Jes. 8 vers 23 t/m Jes. 9 vers 6 Matth. 4 vers 12 t/m 17
Collectes
Lofzang van Zacharias vers 4 en 5
Preek: Matth. 4 vers 13
Psalm 136 vers 1 en 23 en 26
Psalm 32 vers 4 en 6"
2022,February,9,Wednesday,10,00,Rouwdienst dhr. Cazant,Ds. Lugthart,Onbekend
2022,February,6,Sunday,18,30,Avonddienst,Ds. Lugthart,"Psalm 139 vers 1 en 2
Psalm 103 vers 7
Schriftlezing: Genesis 3 vers 7 t/m 24 en Matth. 5 vers 17 t/m 20
Collectes
Psalm 40 vers 4
H.C. Zondag 4
Preek: "" Drie reacties op de eis van Gods wet "".
Psalm 85 vers 3
Psalm 147 vers 6"
2022,February,6,Sunday,10,00,Ochtenddienst,Prop. van der Schee uit Hoevelaken,"Psalm 62 vers 1 en 5
Psalm 119 vers 86
Schriftlezing: Deut. 16 vers 13 t/m 17 en Joh. 7 vers 1 t/m 14 en 37 t/m 44
Collectes
Psalm 145 vers 3
Preek: ""Levend water op het feest "".
Psalm 32 vers 4 en 6
Psalm 143 vers 10"
2022,January,30,Sunday,18,30,Avonddienst,Ds. Langeweg uit Haaften,"Psalm 108 vers 2
Psalm 104 vers 3
Schriftlezing: Lukas 15 vers 1 t/m 10
Collectes:
1) Diaconie 2) Gemeentewerk 3) Onderhoud gebouwen
Psalm 30 vers 7 en 8
Preek: Lukas 15 vers 8 t/m 10
Psalm 8 vers 1 en 4 en 9
Psalm 146 vers 3 en 6"
2022,January,30,Sunday,10,00,Ochtenddienst,Ds. Lugthart,"Psalm 84 vers 2
Psalm 143 vers 10
Schriftlezing: Jeremia 7 vers 1 t/m 15, Mattheüs 7 vers 13 t/m 23 en Openbaring 22 vers 12 t/m 17
Collectes:
1) Diaconie 2) Gemeentewerk 3) Onderhoud gebouwen
Psalm 1 vers 1
Preek: “Twee wegen”.
Psalm 17 vers 3
Psalm 118 vers 10"
2022,January,23,Sunday,18,30,Avonddienst,Ds. Messemaker uit Ridderkerk,"Psalm 150 vers 1
Psalm 146 vers 3
Schriftlezing: Jesaja 42 vers 18 t/m 43 vers 7
collectes:
1) St. de Hoop 2) Gemeentewerk 3) Onderhoud gebouwen
Psalm 89 vers 14 en 7
Preek: Jesaja 43 vers 1B
Psalm 62 vers 1 en 4
Psalm 68 vers 10"
2022,January,23,Sunday,10,00,Ochtenddienst ( Doopdienst ),Ds. Lugthart,"Psalm 98 vers 1
Psalm 25 vers 6
Formulier Heilige Doop
Psalm 105 vers 5
Doopgebed en bediening van de Heilige Doop
Psalm 134 vers 3
Schriftlezing: Mattheüs 13 vers 1 t/m 9 en 18 t/m 23
Collectes:
1) St. de Hoop 2) Gemeentewerk 3) Onderhoud gebouwen
Weerklank: Ga met God en Hij zal met je zijn
Preek: Zaaien en waar dat toe leidt.
Psalm 78 vers 2
Psalm 89 vers 1 en 7
Weerklank:"
2022,January,16,Sunday,15,30,Middagdienst,Ds. de Koeijer uit Waddinxveen,"Psalm 97 vers 1
Psalm 97 vers 7
Schriftlezing: Mattheüs 24 vers 37 t/m 41
Collectes
Psalm 76 vers 4 en 5
Preek: Zoals in de dagen van Noach
Psalm 17 vers 7 en 8
avondzang vers 1 en 4 en 7"
2022,January,16,Sunday,10,00,Ochtenddienst,Ds. Jonker uit Putten,"Psalm 92 vers 1
Psalm 32 vers 3
Schriftlezing: Johannes 5 vers 1 t/m 30
Collectes
Psalm 119 vers 60 en 84
Preek: Johannes 5 vers 24
Psalm 73 vers 12 en 14
Psalm 16 vers 6"
2022,January,9,Sunday,15,30,Middagdienst,Ds. Lugthart,"Psalm 8 vers 1 en 3 en 4
Psalm 86 vers 2
Schriftlezing: Romeinen 3 vers 9 t/m 20 en Romeinen 5 vers 12 t/m 21
Collectes:
Psalm 14 vers 1 en 2 en 3 en 7
Heidelbergse catechismus: Zondag 3
Preek: “Een ernstige diagnose”
Psalm 40 vers 8
Psalm 103 vers 7 en 6"
2022,January,9,Sunday,10,00,Ochtenddienst,Ds. Overeem uit Woerden,"Psalm 106 vers 2 en 3
Psalm 103 vers 9
Schriftlezing: Jesaja 61 vers 1 t/m 3 en Lukas 4 vers 14 t/m 30
Collectes
Psalm 40 vers 3 en 4
Preek: Lukas 4 vers 14 t/m 30
Psalm 95 vers 4
Psalm 146 vers 3 en 4 en 8"
